,Percent C-loss during composting,Mass VS loss per mass C-loss,Percent N-loss during composting,VOC emissions,Degrades
Name,,,,,
Unit,%,kg VS/kg-C,%,mg VOC/kg VS loss,"(1 = Yes, 0 = No)"
Source,"U.S. EPA, 2003","U.S. EPA, 2003","U.S. EPA, 2003","U.S. EPA, 2003",
Yard_Trimmings_Leaves,57.2,2,13.9,4.54,1
Yard_Trimmings_Grass,57.2,2,13.9,4.54,1
Yard_Trimmings_Branches,57.2,2,13.9,4.54,1
Food_Waste_Vegetable,65.7,1.9,83.88,4.69,1
Food_Waste_Non_Vegetable,65.7,1.9,83.88,4.69,1
Wood,0,2.1,0,4.54,1
Wood_Other,0,2.1,0,4.54,1
Textiles,2.8,2.1,2.16,1.73,1
Rubber_Leather,0,0,0,0,0
Newsprint,37.9,2.1,31.61,17.27,1
Corr_Cardboard,37.9,2.1,31.61,17.27,1
Office_Paper,28.8,2.1,21.59,17.27,1
Magazines,37.9,2.1,31.61,17.27,1
Third_Class_Mail,37.9,2.1,31.61,17.27,1
Folding_Containers,37.9,2.1,31.61,17.27,1
Paper_Bags,37.9,2.1,31.61,17.27,1
Mixed_Paper,37.9,2.1,31.61,17.27,1
Paper_Non_recyclable,37.9,2.1,31.61,17.27,1
HDPE_Translucent_Containers,0,0,0,0,0
HDPE_Pigmented_Containers,0,0,0,0,0
PET_Containers,0,0,0,0,0
Plastic_Other_1_Polypropylene,0,0,0,0,0
Plastic_Other_2,0,0,0,0,0
Mixed_Plastic,0,0,0,0,0
Plastic_Film,0,0,0,0,0
Plastic_Non_Recyclable,0,0,0,0,0
Ferrous_Cans,0,0,0,0,0
Ferrous_Metal_Other,0,0,0,0,0
Aluminum_Cans,0,0,0,0,0
Aluminum_Foil,0,0,0,0,0
Aluminum_Other,0,0,0,0,0
Ferrous_Non_recyclable,0,0,0,0,0
Al_Non_recyclable,0,0,0,0,0
Glass_Brown,0,0,0,0,0
Glass_Green,0,0,0,0,0
Glass_Clear,0,0,0,0,0
Mixed_Glass,0,0,0,0,0
Glass_Non_recyclable,0,0,0,0,0
Misc_Organic,68.1,2.2,48.47,1.099,1
Misc_Inorganic,0,0,0,0,0
E_waste,0,0,0,0,0
Bottom_Ash,0,0,0,0,0
Fly_Ash,0,0,0,0,0
Diapers_and_sanitary_products,0,0,0,0,1
