,Assumed_Comp,Degrades
Description,Incoming composition,Degrades
Unit,Mg component/Mg,"(1 = Yes, 0 = No)"
Source,,
Yard_Trimmings_Leaves,0.0211,1
Yard_Trimmings_Grass,0.0211,1
Yard_Trimmings_Branches,0.0211,1
Food_Waste_Vegetable,0.1123,1
Food_Waste_Non_Vegetable,0.1123,1
Wood,0.0495,1
Wood_Other,0.0388,1
Textiles,0.0826,1
Rubber_Leather,0.0439,0
Newsprint,0.015,1
Corr_Cardboard,0.015,1
Office_Paper,0.015,1
Magazines,0.015,1
Third_Class_Mail,0.015,1
Folding_Containers,0.015,1
Paper_Bags,0.015,1
Mixed_Paper,0.015,1
Paper_Non_recyclable,0.015,1
HDPE_Translucent_Containers,0.024,0
HDPE_Pigmented_Containers,0.024,0
PET_Containers,0.024,0
Plastic_Other_1_Polypropylene,0.024,0
Plastic_Other_2,0.024,0
Mixed_Plastic,0.024,0
Plastic_Film,0.024,0
Plastic_Non_Recyclable,0.024,0
Ferrous_Cans,0.0265,0
Ferrous_Metal_Other,0.0265,0
Aluminum_Cans,0.0044,0
Aluminum_Foil,0.0044,0
Aluminum_Other,0.0044,0
Ferrous_Non_recyclable,0.0265,0
Al_Non_recyclable,0.0044,0
Glass_Brown,0.0098,0
Glass_Green,0.0098,0
Glass_Clear,0.0098,0
Mixed_Glass,0.0098,0
Glass_Non_recyclable,0.0098,0
Misc_Organic,0.0004,1
Misc_Inorganic,0.0238,0
E_waste,0,0
Bottom_Ash,0,0
Fly_Ash,0,0
Diapers_and_sanitary_products,0,0
