Emission,Surface_water,Ground_water,Group,Allocation_base,Removal Efficiency (%),"Stage 1 (0-2 years, mg/L)","Stage 2 (3-10 years, mg/L)","Stage 3 (11-40 years, mg/L)","Stage 4 (41-100 years, mg/L)"
TSS,"('biosphere3', '3844f446-ded5-4727-8421-17a00ef4eba7')","('biosphere3', '51c35cf0-3417-4d42-936f-9a6fd7a2638a')",General,Solid Content,96,60,60,60,60
"BOD5, Biological Oxygen Demand","('biosphere3', '70d467b6-115e-43c5-add2-441de9411348')","('biosphere3', '57c27ba7-a61a-4932-8cd5-095c88ff0245')",General,Methane Yield,97,13000,8000,800,30
"COD, Chemical Oxygen Demand","('biosphere3', 'fc0b5c85-3b49-42c2-a3fd-db7e57b696e3')","('biosphere3', 'be10dd54-eb4d-48ae-9e14-7d79ce8b170d')",General,Biogenic Carbon Content,80,15000,12000,3000,200
"Ammonium, ion","('biosphere3', '13331e67-6006-48c4-bdb4-340c12010036')","('biosphere3', '736f52e8-9703-4076-8909-7ae80a7f8005')",General,Nitrogen Content,98,1000,700,500,400
Phosphate,"('biosphere3', '1727b41d-377e-43cd-bc01-9eaba946eccb')","('biosphere3', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",General,Phosphorus Content,21.6,14,14,14,14
"Calcium, ion","('biosphere3', 'ac066c02-b403-407b-a1f0-b29ad0f8188f')","('biosphere3', '1d0f4392-8c91-4d01-8a5d-f8fe1f5b05c9')",General,Solid Content,85,1000,1000,1000,1000
Chloride,"('biosphere3', '5e050fab-1837-4c42-b597-ed2f376f768f')","('biosphere3', '85bec19f-c785-4364-8ef6-472b8e9dd90e')",General,Solid Content,85,2500,2000,1500,980
Magnesium,"('biosphere3', '7bdab722-11d0-4c42-a099-6f9ed510a44a')","('biosphere3', '24acc516-974c-4ff3-b7e1-5950b8d37206')",General,Solid Content,85,300,300,300,300
Sodium,"('biosphere3', '723f56f9-c68e-5692-a969-0fb2a70bce20')","('biosphere3', '73a1b292-e31d-4100-a413-304795a3656f')",General,Solid Content,85,700,500,400,200
Benzene,"('biosphere3', 'a1891db2-db98-45fc-ae0e-b3d3c17850c5')","('biosphere3', 'bbd89c3f-b232-49aa-8ce7-45758afe4479')",Trace Organics,Solid Content,99,0.0065,0.0065,0.0065,0.0065
Chloroform,"('biosphere3', 'ec2c6f72-1ca3-428b-90e5-e9feb4b58381')","('biosphere3', 'cbe3d924-dd94-4208-bdbc-9aed29bbc770')",Trace Organics,Solid Content,99,0.0003,0.0003,0.0003,0.0003
"Benzene, ethyl-","('biosphere3', '4abbbc48-a8d0-4c3a-9dea-4e67f1505230')","('biosphere3', '1f455f6d-473e-4a50-af39-26dde8cd6479')",Trace Organics,Solid Content,80,0.02,0.02,0.02,0.02
Ethylene dichloride,"('biosphere3', '250dd08a-ee61-4a2b-86f8-b21e9ebe6ed9')","('biosphere3', '12c12a5e-847f-4a94-be3b-21f14ff429fe')",Trace Organics,Solid Content,70,0.05,0.05,0.014,0.014
"Methane, dichloro-","('biosphere3', '1b6a35b8-f6c8-404d-9c0e-e09b8fdb2d9e')","('biosphere3', 'a9dab180-06d5-417f-b1ca-8366ccd7a9df')",Trace Organics,Solid Content,70,0.03,0.015,0.008,0.004
Tetrachloroethene,"('biosphere3', 'a74ded48-233e-4bd2-9406-a36d8e623489')","('biosphere3', 'f8d3477c-7a39-4a51-9c16-a2ee5ae6a5d7')",Trace Organics,Solid Content,70,0.01,0.01,0.01,0.01
Toluene,"('biosphere3', 'bb33742a-c5d5-4607-805f-13e4d3a155fd')","('biosphere3', 'e5d0d6ea-c681-4080-ab05-5d9522c79bd1')",Trace Organics,Solid Content,80,0.16,0.16,0.02,0.02
Trichloroethene ,"('biosphere3', 'c4bc70e8-d445-4ca4-bc89-fc93819791e3')","('biosphere3', '014bd81b-88c7-4a81-b872-201dcbfb8bbf')",Trace Organics,Solid Content,70,0.005,0.005,0.007,0.007
"Ethene, chloro-","('biosphere3', 'cfe43cd8-3356-4d29-bb02-5b9c9ede0aec')","('biosphere3', '3bd4b93d-298c-4e3f-88bb-864569350e60')",Trace Organics,Solid Content,70,0.05,0.05,0.04,0.04
Xylene,"('biosphere3', '29190509-6cc8-47e1-bc99-5ff994e39b74')","('biosphere3', '0e6cf9f9-44ff-4395-ad3b-36109a32e6eb')",Trace Organics,Solid Content,60,0.05,0.05,0.05,0.05
"Arsenic, ion","('biosphere3', '8c8ffaa5-84ed-4668-ba7d-80fd0f47013f')","('biosphere3', '1f607ae2-b42d-4411-90b8-e9bbac66a554')",Heavy Metals,Solid Content,70,0.03,0.025,0.02,0.02
Barium,"('biosphere3', '2c872773-0a29-4831-93b9-d49b116fa7d5')","('biosphere3', 'd68f41b3-6887-49a8-8efa-96812f8ec9f6')",Heavy Metals,Barium,85,0.5,0.3,0.2,0.16
"Cadmium, ion","('biosphere3', 'af83b42f-a4e6-4457-be74-46a87798f82a')","('biosphere3', '3937f5a5-b4a4-434d-9fc3-1d29064fc3f8')",Heavy Metals,Cadmium,85,0.012,0.01,0.008,0.006
"Chromium, ion","('biosphere3', 'e34d3da4-a3d5-41be-84b5-458afe32c990')","('biosphere3', '1c87de06-e58f-4684-a54c-d29f1a251a87')",Heavy Metals,Solid Content,30,0.07,0.06,0.05,0.04
"Copper, ion","('biosphere3', '6d9550e2-e670-44c1-bad8-c0c4975ffca7')","('biosphere3', 'c3b659e5-35f1-408c-8cb5-b5f9b295c76e')",Heavy Metals,Copper,50,0.12,0.1,0.1,0.07
Lead,"('biosphere3', 'b3ebdcc3-c588-4997-95d2-9785b26b34e1')","('biosphere3', 'c864aa15-0abc-41ad-9889-348106e485d8')",Heavy Metals,Solid Content,85,0.06,0.04,0.02,0.005
Mercury,"('biosphere3', '66bfb434-78ab-4183-b1a7-7f87d08974fa')","('biosphere3', 'e1aa92d7-9297-452e-ade0-e5e2acc52ad7')",Heavy Metals,Mercury,85,0.0004,0.0003,0.0002,0.0002
Nickel,"('biosphere3', '9798359e-a3ee-4362-a038-23a188582c6e')","('biosphere3', 'e030108f-2125-4bcb-a73b-ad72130fcca3')",Heavy Metals,Solid Content,20,0.07,0.06,0.05,0.04
Selenium,"('biosphere3', '544dbea9-1d18-44ff-b92b-7866e3baa6dd')","('biosphere3', '1be475e0-ccef-4145-98e0-0d47c570a71b')",Heavy Metals,Selenium,85,0.01,0.008,0.006,0.006
"Silver, ion","('biosphere3', 'af9793ba-25a1-4928-a14a-4bcf7d5bd3f7')","('biosphere3', '71cfe87c-ab80-421e-adba-afb7d5bd0861')",Heavy Metals,Solid Content,85,0.08,0.07,0.03,0.01
"Zinc, ion","('biosphere3', '541b633c-17a3-4047-bce6-0c0e4fdb7c10')","('biosphere3', '7e769b3e-03fb-4b53-be15-85a910dcfea9')",Heavy Metals,Zinc,70,4,2.2,1.5,0.7
